PoliticalWing,SicCode,SicCodeCategory,SicCodeDescription,Count
Right,85510,Education,Sports and recreation education,2
Right,06100,Mining and Quarrying,Extraction of crude petroleum,2
Right,90020,"Arts, entertainment and recreation",Support activities to performing arts,2
Right,61900,Information and communication,Other telecommunications activities,2
Right,90040,"Arts, entertainment and recreation",Operation of arts facilities,2
Right,94920,Other service activities,Activities of political organisations,2
Right,73110,"Professional, scientific and technical activities",Advertising agencies,2
Right,58130,Information and communication,Publishing of newspapers,2
Right,93290,"Arts, entertainment and recreation",Other amusement and recreation activities n.e.c.,2
Right,94120,Other service activities,Activities of professional membership organisations,2
Right,85421,Education,First-degree level higher education,2
Right,96030,Other service activities,Funeral and related activities,2
Right,82110,Administrative and support service activities,Combined office administrative service activities,2
Right,35110,"Electricity, gas, steam and air conditioning supply",Production of electricity,2
Right,74100,"Professional, scientific and technical activities",specialised design activities,2
Right,70221,"Professional, scientific and technical activities",Financial management,2
Right,85520,Education,Cultural education,2
Right,46160,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods",2
Right,47710,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of clothing in specialised stores,2
Right,41201,Construction,Construction of commercial buildings,2
Right,66290,Financial and insurance activities,Other activities auxiliary to insurance and pension funding,2
Right,62020,Information and communication,Information technology consultancy activities,2
Right,87300,Human health and social work activities,Residential care activities for the elderly and disabled,2
Right,87900,Human health and social work activities,Other residential care activities n.e.c.,2
Right,59111,Information and communication,Motion picture production activities,2
Right,64922,Financial and insurance activities,Activities of mortgage finance companies,2
Right,64303,Financial and insurance activities,Activities of venture and development capital companies,2
Right,88910,Human health and social work activities,Child day-care activities,1
Right,99000,Activities of extraterritorial organisations and bodies,Activities of extraterritorial organisations and bodies,1
Right,90030,"Arts, entertainment and recreation",Artistic creation,1
Right,47290,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other retail sale of food in specialised stores,1
Right,58290,Information and communication,Other software publishing,1
Right,64991,Financial and insurance activities,Security dealing on own account,1
Right,64202,Financial and insurance activities,Activities of production holding companies,1
